W,L,Nup,Ndown,E,time(ms), time(sec),
2,40,47,1,-63.9218662599238243,164999774,164999,
2,40,39,39,-310.4179873361048863,164771062,164771,
2,40,25,1,-57.3891324337040416,172326118,172326,
2,40,46,1,-64.3056901115730284,176474675,176474,
2,40,36,36,-288.8759053125898504,172796803,172796,
2,40,38,38,-303.2686857062206514,173865691,173865,
2,40,35,35,-281.6259857694721518,176065257,176065,
2,40,45,1,-64.5845129864725180,180913584,180913,
2,40,44,1,-64.8558377860401265,190142551,190142,
2,40,27,1,-59.1124100445252907,202786016,202786,
2,40,26,1,-58.2759661855953581,208051510,208051,
2,40,21,59,-220.8166836168404075,191058425,191058,
2,40,43,1,-65.0084116644456884,216731455,216731,
2,40,1,39,-65.0614639721177923,214442364,214442,
2,40,39,1,-65.0614640273016960,218764917,218764,
2,40,59,21,-220.8166836124406416,232991800,232991,
2,40,28,1,-59.9398094386117819,256026528,256026,
2,40,36,4,-88.2686159222592721,244509964,244509,
2,40,29,1,-60.6971805941047009,258577388,258577,
2,40,40,1,-65.1683032913824718,261523774,261523,
2,40,42,1,-65.1440796373859712,261439233,261439,
2,40,35,1,-64.0511910704007761,267630831,267630,
2,40,30,1,-61.3821833233841616,268785712,268785,
2,40,3,37,-80.7620109303000788,256413528,256413,
2,40,39,1,-65.0614640302200371,277277045,277277,
2,40,4,36,-88.2686159077042163,263280604,263280,
2,40,36,1,-64.4256006334282461,279101576,279101,
2,40,8,32,-115.8024080691785969,264365746,264365,
2,40,33,1,-63.1781941699697214,279733033,279733,
2,40,38,1,-64.9285221753249857,279544666,279544,
2,40,41,1,-65.1700233074461295,279631329,279631,
2,40,21,19,-165.0961926268113018,265980295,265980,
2,40,34,1,-63.6623599622347172,284633636,284633,
2,40,19,21,-165.0961926365851582,270167004,270167,
2,40,31,1,-62.0579649076946680,286510211,286510,
2,40,38,2,-73.0501875125138156,274649194,274649,
2,40,35,5,-95.5168201796268619,276441415,276441,
2,40,32,8,-115.8024080689171598,278767450,278767,
2,40,33,7,-109.2642893063480756,284630189,284630,
2,40,32,1,-62.6431692851090247,298442960,298442,
2,40,7,33,-109.2642893183945603,288127449,288127,
2,40,22,18,-161.8025049261677282,289793249,289793,
2,40,37,1,-64.6835447623052602,304743949,304743,
2,40,31,9,-121.7858555328088528,311998012,311998,
2,40,37,3,-80.7620109153629642,331545799,331545,
2,40,22,58,-227.6631070355707607,322111529,322111,
2,40,5,35,-95.5168201875796683,332702512,332702,
2,40,2,38,-73.0501875076612635,349741010,349741,
2,40,18,22,-161.8025049261677282,360785895,360785,
2,40,34,6,-102.4926848264525745,366302438,366302,
2,40,55,25,-247.1874783476407345,361477452,361477,
2,40,10,30,-127.2301442649555128,368003126,368003,
2,40,42,38,-310.1941224040425027,363609044,363609,
2,40,43,37,-306.4466499475720980,364067603,364067,
2,40,25,55,-247.1874783476407345,362810239,362810,
2,40,31,49,-280.7451895902682963,366873773,366873,
2,40,37,43,-306.4466499475720980,368400281,368400,
2,40,24,56,-240.8403575537098504,368485848,368485,
2,40,38,42,-310.1941224040425027,371782203,371782,
2,40,56,24,-240.8403575537098504,375018523,375018,
2,40,30,10,-127.2301442865287271,380792119,380792,
2,40,27,53,-259.2783279158408618,376029781,376029,
2,40,58,22,-227.6631070355707607,384298092,384298,
2,40,53,27,-259.2783279158408618,384623659,384623,
